x_0 y_0 flux_0 id group_id x_fit y_fit flux_fit flux_unc x_0_unc y_0_unc
4.595515735588265 448.21934764407786 24948.260925785504 264 255 3.3428512387589238 446.1523313635663 23534.571596776415 1578.5037813832344 0.1942656130889084 0.1950699785953337
12.228354378673373 528.3421854996946 3193.3574790145035 317 306 11.686333062485613 526.3615245249205 3078.591967508419 162.41056801500002 0.15091391081106087 0.15262233769989753
14.028523168851052 576.9466931276206 79258.00438088429 338 326 13.450514920245825 575.0641886613306 73181.37215750923 3556.615040195592 0.1391021183013308 0.14169607129598316
17.55150654947255 503.71717716788277 1316.5014662239967 301 291 17.03948846233786 501.26393251330643 1279.5326662967016 99.50662683635834 0.2227595099175857 0.23621598926432538
23.025630281891836 187.29509589821942 516.7179358790731 112 107 22.974483230230305 184.3488075296592 711.4055147620181 77.48403181542491 0.3111007848264517 0.3294162929403234
38.92355645961567 949.258298287479 109327.38976940904 473 460 38.28259823756067 947.3059324427944 100545.54220086469 5105.707272814564 0.14542456080233016 0.1470140620084425
44.20971254969936 630.0001927939429 1219.3709291202072 365 353 43.017017857709575 628.2086902230568 1200.2313253450427 87.69520826198568 0.20958694720564572 0.21211756398449225
48.97596899653058 64.29544791639847 2735.7677084698144 41 37 48.294400745744674 62.05482873124622 2719.1408873055125 139.61457685903252 0.14702614847188475 0.14991365100573179
52.14076100547811 350.23087178704304 20811.0673366179 217 211 51.469339608146385 348.17682388426596 19482.235150334574 970.1795679756199 0.14252118810445405 0.14476355773704644
52.77127828819613 655.098115049475 15537.24198147635 377 364 52.030062029794564 653.1115328177148 14506.460566463136 717.804040589594 0.1419233545930491 0.14403545401821705
55.21412829728445 893.0569763218793 5942.835084894308 459 446 54.45675731541712 890.9480369557555 5719.409888846396 278.323285552526 0.1392793468391899 0.1423428394932074
57.68893658026775 618.2320724039557 2467.9004689522494 359 347 56.4696863484844 616.2006110949301 2434.219744172482 134.55409177903636 0.1596623604577539 0.16050758917003013
62.157155278799905 992.5413534662882 1773.3620412035052 488 475 60.99672766564384 990.510301195005 1723.4869475574133 115.32465730417542 0.19193600844553466 0.1996211564912225
64.29754940065749 48.6330343192368 9332.428766684547 30 27 63.52106348793318 46.693274061205784 8868.284300883368 414.715253135629 0.13375760546329155 0.1386374537224639
65.28324748483169 957.9859660104871 61979.78504625709 476 463 64.65221965824936 956.1028308116142 57318.78745592406 2802.305613652177 0.13986211256619605 0.14227525049993694
66.91915277697461 292.0637626989874 10076.076912189652 179 173 66.2422222491943 290.04498466184845 9563.337378312854 461.0290291442895 0.1380840739751215 0.14072632322540934
69.22909832974841 275.72947040965164 14993.896511835186 165 160 68.60365028270151 273.8885769332328 13705.463928807449 688.7079303625204 0.14375202604874338 0.14754408971430102
72.60958731247086 80.28223744547097 453.6168153611103 55 50 72.28847954182741 77.82613036390427 624.0139730332774 85.5593101479371 0.3925628733016815 0.40387898056937505
73.23407803849295 228.15889197039832 1147.201192949152 137 132 72.71475562725105 226.0059350595204 1248.280090590233 87.55446844225641 0.20062166060174874 0.20505532830541762
76.81843072843134 139.74403459612438 29025.664437946456 87 82 76.32983200969299 137.8264953653698 26749.19752986123 1275.2351552365205 0.13647519242093156 0.14040155428090267
80.30971897900224 404.14657339964856 1726.3301792382 245 236 79.46407024952268 402.34471814795864 1697.199474236588 102.05837343617353 0.1721047027719139 0.17406036788108611
86.28482087333782 625.2804923579554 92743.15441563637 363 351 85.6564452640633 623.3156215297537 85870.05837894215 4309.190728414213 0.14356135051264468 0.14530929329752815
94.43585101061223 1018.2829297388718 2896.1270545063194 495 482 93.58191198941158 1016.1610662209888 2867.1072613945603 160.56504999696443 0.16022729604703287 0.1626935703748056
97.32398955971973 290.950531931393 7497.897173073069 177 171 96.71997966917804 288.830503924155 7121.249442468715 356.4041324264438 0.14313946246279954 0.14729959866272968
98.80934495465232 189.41690137724322 10591.411839015715 116 111 98.15551029778713 187.418428984593 9541.583654717495 519.7221622266842 0.15609554677529047 0.15746382369434528
100.08458684926933 765.2562511348758 18785.610403773262 414 401 99.39390837485129 763.2915271677489 17488.66990214123 878.7953608476095 0.1438449799449208 0.14555650557789115
104.16324155156855 599.8929531865797 860.2279527004599 348 336 104.21037921195435 597.4567233730206 802.7246644701345 87.61473974103659 0.3120358412471737 0.3271612542024631
105.2346157584081 205.67819801754968 23441.531406679576 125 120 104.68925770400364 203.85196628698085 21500.747067390043 1045.9829049984035 0.13914057748872763 0.14308617993959896
108.90591516731104 912.1749302683679 13443.925340490952 462 449 108.18119463992807 910.1966817697255 12602.224730420287 614.7371146735957 0.13976831737988327 0.14160005258052136
112.29520188578226 496.4626853365171 9700.724308845834 299 289 111.69326385704368 494.42490292152894 9197.346098150796 445.0322860189582 0.13841656252996976 0.13981034320058117
112.61830812950541 1002.003301735466 4396.281207537196 490 477 111.91961166580778 1000.0224068219542 4265.417094820741 206.80590049169658 0.13918265513957678 0.14143277246819277
113.9053548425847 72.31257173012273 7328.226714528896 48 44 113.34337392352616 70.1580337777465 6967.0627610969095 334.86681896251037 0.137607552528962 0.13987406674586697
127.7661253648173 47.21774368579031 1904.978441643228 29 26 127.07048007828881 45.08338257309944 1868.8149794041703 116.29473218565627 0.17840909322588885 0.18152692299920867
129.5615332728447 328.89571482480966 29516.61518181971 208 202 128.8977825967954 326.9587437651891 27218.529780522924 1334.6617280707633 0.14078160532967304 0.143563962375141
130.07481153272943 918.2550868822912 1701.4129808448638 466 453 129.77398523655742 916.2358669323243 1608.99292428352 107.50495709253124 0.19110621776771528 0.19375944467321077
