x_0_v x_fit_v y_0_v y_fit_v flux_0_v flux_fit_v flux_unc_v x_0_unc_v y_0_unc_v x_0_b y_0_b flux_0_b x_fit_b y_fit_b flux_fit_b flux_unc_b x_0_unc_b y_0_unc_b
63.87026592122679 63.837860359810705 47.94786226691072 47.90918763426415 36095.09608898957 32972.77216935051 989.1543866466023 0.08580271247418667 0.08579919917912988 64.29754940065749 48.6330343192368 9332.428766684547 63.52106348793318 46.693274061205784 8868.284300883368 414.715253135629 0.13375760546329155 0.1386374537224639
48.54867473202987 48.578256318651164 63.610265363863775 63.489917952066854 13793.539204894525 12669.129054834926 361.1382952981044 0.08156050524418439 0.08157799035778243 48.97596899653058 64.29544791639847 2735.7677084698144 48.294400745744674 62.05482873124622 2719.1408873055125 139.61457685903252 0.14702614847188475 0.14991365100573179
113.47805521499991 113.47759519482403 71.62743386954648 71.58894202554114 28443.270900416806 26042.775735535364 755.6511319309333 0.08303417552602727 0.08301838685722265 113.9053548425847 72.31257173012273 7328.226714528896 113.34337392352616 70.1580337777465 6967.0627610969095 334.86681896251037 0.137607552528962 0.13987406674586697
127.3388429941998 127.39254574364713 46.53261529784825 46.57853378075626 10210.787267587384 9493.627274492816 259.2150829882104 0.07812077683328447 0.0781230050218395 127.7661253648173 47.21774368579031 1904.978441643228 127.07048007828881 45.08338257309944 1868.8149794041703 116.29473218565627 0.17840909322588885 0.18152692299920867
143.34021298309588 143.36355199902417 9.155095366681401 9.132841305588096 484581.16638913105 439795.82893340505 13660.317796411546 0.08886376720012626 0.08883660951460494 143.7674696582214 9.84021284334085 76664.58293214865 143.23358221858993 7.952122429860447 70112.60896070104 3406.8907626762157 0.13916596930217076 0.14242106104562444
76.39108473506882 76.37221728775891 139.05887138069284 139.0191213967577 143055.066348972 129849.63154584255 4020.986888195179 0.08859456342584673 0.0885647100584954 76.81843072843134 139.74403459612438 29025.664437946456 76.32983200969299 137.8264953653698 26749.19752986123 1275.2351552365205 0.13647519242093156 0.14040155428090267
132.98177964712445 132.97995040604127 125.60870927453684 125.58303129060126 12749.908921298498 11710.820338695887 337.13070907910924 0.0823339265629256 0.08236727411910548 133.40911629686474 126.29383359059875 2697.594320536342 132.7116805544027 124.19710214088963 2659.7434075860474 142.52582290188712 0.15327861916854035 0.15575183819020022
98.38196490549979 98.4053536969634 188.7317533935657 188.73320945532382 35621.44243032369 32156.473320030786 1043.4307110220755 0.09284101733569933 0.09281763672715816 98.80934495465232 189.41690137724322 10591.411839015715 98.15551029778713 187.418428984593 9541.583654717495 519.7221622266842 0.15609554677529047 0.15746382369434528
178.4296253008808 178.32876692450253 133.22849157439455 133.2069887540317 54813.81197597967 49627.10196302495 1576.4885911627123 0.09087842550734654 0.09086240408212487 178.85696709966498 133.91358460940313 15365.859587586026 178.0881240642876 131.93674230473886 14431.983811034292 687.0003150457289 0.136450365917418 0.1395574199831426
104.80722455763542 104.87525827906323 204.99305448484094 204.95741566986177 82262.73240774198 74489.64261758579 2349.591583758417 0.09021410398627003 0.09021266652729192 105.2346157584081 205.67819801754968 23441.531406679576 104.68925770400364 203.85196628698085 21500.747067390043 1045.9829049984035 0.13914057748872763 0.14308617993959896
179.9561694729269 180.07575715925924 150.55692713749974 150.33102018113874 5532.862572798039 5194.603983321835 153.72519168859714 0.08463879386746745 0.08473420664298309 180.3835231677507 151.24201908642215 1019.1379412789436 179.42635766224686 148.71887968078002 1045.3099809500247 84.68170227376379 0.23179794258516184 0.23976965950480567
72.80667134763164 72.7607951685473 227.47372646995623 227.38238762234633 8329.147625805319 7790.343999415907 201.05457398964282 0.07382012315324828 0.07384071048758105 73.23407803849295 228.15889197039832 1147.201192949152 72.71475562725105 226.0059350595204 1248.280090590233 87.55446844225641 0.20062166060174874 0.20505532830541762
231.4440771951131 231.46208754442515 66.0041836419475 65.98392571353818 61014.95586560526 55418.88368087408 1717.703746815927 0.0886969223071515 0.08864441118881587 231.87137273666985 66.68924035537259 17786.092172136174 231.22578003699826 64.78496338264793 16269.586128597384 793.3254621374282 0.13963618933509803 0.1439063833393498
200.03971737190727 200.0113847344484 155.59535942016888 155.56362760290799 26578.455351243054 24142.91577015459 749.504127078637 0.08878798440333432 0.08882657343552479 200.467074492959 156.28043754360755 6997.170593449717 199.9096507428372 154.35098301804805 6551.905213789074 333.5378290884537 0.14559507926103893 0.14738418836177786
258.4688869913672 258.46327144313005 50.87685021334485 50.83126227584278 550387.524379708 499894.0854380891 15478.090451789876 0.08860583236907149 0.08855765907885331 258.89617209674196 51.561888368790164 91590.6810803873 258.3380514060389 49.770591635262235 83575.80370932075 4002.295673014417 0.13706468055618187 0.14143119532898799
130.78866388112382 130.77332442249792 247.00600375486457 246.97369489208015 59860.605109000906 54117.73001868154 1723.758592245673 0.09110620922159426 0.0910979537626122 131.2160838806467 247.69112934232834 17141.422072703088 130.54498619598718 245.85067508110848 15841.164614353247 771.067292560837 0.13925602006657498 0.14315318649474046
68.80165897814474 68.83528663601068 275.04430223804394 275.02279447549546 53502.59133335287 48726.68427559942 1504.9391859138625 0.0883360345484347 0.08833400294007743 69.22909832974841 275.72947040965164 14993.896511835186 68.60365028270151 273.8885769332328 13705.463928807449 688.7079303625204 0.14375202604874338 0.14754408971430102
288.3919589551053 288.3700194186722 44.14343889716536 44.13217061036991 10651.783403942505 9639.618130099792 326.1143255246543 0.09679314501196866 0.09675783876503721 288.8192393852688 44.82845648079689 1850.4117650977055 287.76601709681137 43.354510158256694 1746.5526413828354 111.98940356437124 0.18433479752555787 0.1856565772468053
